Indicativ,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
ab,-0.7292924100319644,0.02421824249761353,-0.019640491157317697,-0.29335667513410774,-0.378227664689671,-0.0768884925874306,-0.030843887346398032,0.5723645157022135,0.22321378095544103,0.30498541599611523,0.03383744598078168,0.05591804883847319,-0.3661652089698649,0.3871963982096697,-0.564400691108349,-0.162306608830078,0.7844713266736593,0.3855816339632214,-0.48250014923272355,0.32704198887096375,1.9617294802439693,-0.3347840617966473,0.22745051950101064,0.14210591312101256,2.4097173467620445,-0.10843252549252846,0.21783946544235833,0.015082306713329673,0.6866913669376583,0.4076997299676458,1.695068352572927
ar,-0.17904783719347653,0.33379055964101706,-0.23961399211927686,0.35739976710459137,-0.3425794098164652,-1.0163260747465828,-0.26266005119195707,-0.6899289632040525,-1.1213487244895657,-0.46627454546606095,-0.018240759702795876,-0.39377665623109265,0.04614263956410141,-0.10407827564897273,-0.5544111546006899,-0.762065936249577,1.1626042558136584,0.5050930040090962,0.25328144809506536,1.5781654493452084,0.060344626302805036,0.10547176845719645,0.4014887563287798,0.5888330972554412,0.745536329314904,-0.28434065404001924,0.13425833522295702,-0.2277393701343032,0.18149500201087748,-0.5900719328151564,1.8850531520104854
ag,-0.45417012361272047,0.15689209270192978,-0.23961399211927686,-0.9360237065670516,-0.44475454626119615,-0.0768884925874306,0.5064241629780153,1.1001837763554394,-0.11206769040367656,0.7957872096538637,0.04699087453710935,-0.06408094605168241,-0.0834223806249442,-0.13524425205563828,-0.591133107033533,-0.12466675648365515,-0.40533234261006557,0.2083895062760845,1.2956550874836683,-0.7254145761583929,-0.7296231045719571,-0.5474069094000129,0.1920844606803944,0.15238794400963063,-1.1250087872216181,-0.4443044111838181,-1.2573830229744316,-1.0444154282149347,0.23966260053123237,0.12088304104228147,2.8886091476821076
bc,-0.2707552659998909,-0.4180279248501062,-0.12962724163829728,0.9545747356191492,-0.06145159683724714,0.862549089571722,-0.0881161160611832,-1.0127833912051216,1.2232099118603725,0.19711688991748919,-0.003782029075992414,-0.7440642357892856,-0.5098418810897393,-0.1332631414270145,-0.48279866476140787,-0.7116984631765839,-1.4797990010101536,-0.5716924549603195,-0.5555691484574572,-0.9567737716644403,-0.1873638872101853,-0.5305585165616795,0.6434670535224698,-0.3952654906893906,-0.431612816332069,-0.39784694872256077,-0.4401017044042755,0.10080685644505505,-0.5909548321410005,-0.28516565502063984,-0.5879798598620324
bh,1.104856166096329,0.06844285923238613,0.03535288408317185,-0.8137257324499373,-0.4329517375572396,-0.9576112258616359,-0.6935653910460551,0.5254736891544409,-0.7952918647323083,-0.007833309631900282,0.7859257235615418,0.6534677732212708,0.9355632550662646,-0.42711215857716084,-0.02633928096455485,0.5024450357699218,-0.34949629435051033,-0.10610897419376733,-0.6608849798583876,0.17793756466005314,0.1840170094196462,-0.39740922008252827,-0.08898263836766093,-0.18908371339657726,-0.7956693222038852,0.8961747281187514,0.043540938821581124,-0.07966765230069843,0.08800731199132167,-0.056030862678044316,0.2835149631745692
bn,1.1965635949027449,-0.6833756252587379,0.6952733869690488,0.02948661541016675,-0.3519920150226114,-0.31174788812721865,-0.8708365751632473,2.9834426820301574,-0.7737074794155372,-1.0595514388985041,0.2390376253162647,-0.476893129262541,-0.5697225668732357,-0.40698665618621177,-0.6577508286189854,-0.5216003225457474,-0.1267988509060299,-0.3498199151993167,-0.4104375608367576,-0.49169746937934633,1.4129583406586828,-0.49675115898779626,0.9217420952952131,-0.08978094139334544,-0.8607183485075938,-0.37755024223176076,1.8730330307515828,-0.2907207865252997,0.06680391837863918,-0.11940130921966569,-0.1945703422022075
bt,0.09607444922576745,0.2453413261714734,0.4752998860070897,0.10441618093812813,2.269821393314046,-0.6053221325519538,-0.5081124599696079,-0.13655501334226525,-0.4364966775253115,-1.4047307223501075,-0.1486705588987469,-0.2922767491300067,-0.6016208384469313,0.14037998153109715,-0.27712867614277836,-0.7768894424912145,-0.5644327426701107,-0.9187773435372955,-0.6527443668233255,0.7247972030793378,1.8224311907471893,-0.25132301162907017,-0.6660078085987677,-0.39391259188825695,0.025087070018473982,-0.6962490190340835,-0.3955113268326686,1.4659785898274378,-1.7992081066690617,-1.2308870856799379,-0.7688060843564912
br,-1.462951840483282,1.5720798282146327,0.5302932612475797,0.15766214914498017,-0.42859439927543647,0.21668575183730449,-0.6826563951003817,-0.32445634452288574,0.007430219366827093,-0.3368323141717097,-0.7431185095067249,0.25144993715735375,-0.4347627388995979,-0.5520938571452014,-0.22763884736108345,-0.6963170474415992,-0.5359757605455497,-0.25574243688132653,-0.6304484961552406,0.7046983262020715,0.05939549968098304,5.111386360387093,-0.8307391878421644,-0.977823714457667,0.6190965273487754,-0.4238741462707056,-0.63074939948478,0.15642425730223206,1.8549189840043454,1.160693088021007,-0.8053993554774074
bv,0.9214413084835001,-0.9929479424021415,0.255326385045131,0.5586160945663301,-0.19239001641120937,-0.7814666792067947,0.6918770940544625,-0.30029431827119324,-0.47526416288476353,1.9176198808715745,1.1085696199559396,0.4151880672725136,0.4739794675153991,-0.06389030105853626,4.885848804401735,4.690669946810415,0.7937414041839336,0.941305347339623,0.9164525884100445,-1.6067357649547913,-0.2909523449658039,-0.17420602406427813,0.14368880124165634,0.521458736958971,-0.5354086121212143,2.173947353405471,-0.26431341710609296,-1.3397955208085162,1.7983388053266518,1.989059733029169,1.262074402176404
bz,-0.8209998388383797,1.2182828943364565,-0.23961399211927686,-0.7302594154265014,-0.4320409272051991,2.3304203116953977,-0.5817481826029031,-0.25667557362208326,2.207168482725469,-0.7736998447901452,-0.681668904342813,-0.026873492314572475,-0.7068447996286522,-0.5612539933533731,0.15180745342203447,-0.3303217977346242,0.49860800624057067,-0.4929622416466639,-0.5351848628546648,0.18111478758561647,1.5381263172402122,-0.24035566157392854,-0.07967578078328823,-0.08274586762744898,0.20750698996564593,-0.5607706944008598,-1.2261154119269846,-0.8575591468609857,0.8517830305743758,-0.18248732826334468,-0.4415883161773058
cl,0.27948930683859785,1.3067321278060018,1.0802270136524772,-0.773228973900082,-0.4220705180260577,0.21668575183730449,-0.24084205930061034,-1.0245872238395524,-0.03338717968192718,-1.0649448652024354,-0.9928328363738007,-1.1213707271346693,-0.8692268333194028,-0.5124890061823553,0.0,-0.4354422104915214,-0.8716387996966207,-0.6794183281071718,-0.09780109870967581,0.28289697691238,1.7472674680597118,0.9546224746169114,-0.5124446584566184,-1.3809875571955832,-0.1760521103845635,-0.7589822447343957,-0.371039663677253,1.2967465529675384,-0.9074750100543902,-1.2684315154083672,-0.6907431907260008
